id,episode_id,source_frame,role_group,secondary_role_group,name,role_detail,role_group_normalized,role_group_corrected,scene_position,original_frame_number,reviewed_status,is_person,normalized_name,assigned_code,code_assignment_status,imdb_matches,imdb_name
1,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Miscellaneous Companies,,The Mediaset Collection,il film è stato restaurato da,Miscellaneous Companies,,first_half,363,pending,0,the mediaset collection,cm0000011,internal_assigned,,
2,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Miscellaneous Companies,,Cinema Forever,il film è stato restaurato da,Miscellaneous Companies,,first_half,363,pending,0,cinema forever,cm0000005,internal_assigned,,
3,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Thanks,,Carlo Bernasconi,Dedicato a,Thanks,,first_half,363,pending,1,carlo bernasconi,gp0000003,internal_assigned,,
4,8_e_mezzo,scene_002_static_002_num00591_sim99.jpg,Miscellaneous Companies,,Scuola Nazionale di Cinema,in collaborazione con,Miscellaneous Companies,,first_half,591,pending,0,scuola nazionale di cinema,cm0000010,internal_assigned,,
5,8_e_mezzo,scene_002_static_002_num00591_sim99.jpg,Miscellaneous Companies,,Centro Sperimentale di Cinematografia,in collaborazione con,Miscellaneous Companies,,first_half,591,pending,0,centro sperimentale di cinematografia,cm0000002,internal_assigned,,
6,8_e_mezzo,scene_002_static_003_num00795_sim33.jpg,Miscellaneous Companies,,Cinecittà Holding,e con,Miscellaneous Companies,,first_half,795,pending,0,cinecitta holding,cm0000003,internal_assigned,,
7,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Miscellaneous Companies,,Cinecittà Studios,restauro effettuato presso gli stabilimenti,Miscellaneous Companies,,first_half,939,pending,0,cinecitta studios,cm0000004,internal_assigned,,
8,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Miscellaneous Companies,,Videorecording,restauro effettuato presso gli stabilimenti,Miscellaneous Companies,,first_half,939,pending,0,videorecording,cm0000013,internal_assigned,,
9,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Additional Crew,,Manrico Masini,consulenza tecnica,Additional Crew,,first_half,939,pending,1,manrico masini,gp0000005,internal_assigned,,
10,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Thanks,,Vincenzo Verzini,un particolare ringraziamento a,Thanks,,first_half,939,pending,1,vincenzo verzini,gp0000008,internal_assigned,,
11,8_e_mezzo,scene_002_static_007_num01155_sim100.jpg,Miscellaneous Companies,,GRUPPO MEDIASET,CINEMA FOR EVER è un'iniziativa,Miscellaneous Companies,,first_half,1155,pending,0,gruppo mediaset,cm0000008,internal_assigned,,
12,8_e_mezzo,scene_005_static_002_num02165_sim73.jpg,Producers,,Angelo Rizzoli,Prodotto da,Producers,,first_half,2165,pending,1,angelo rizzoli,nm0729939,auto_assigned,,Angelo Rizzoli
13,8_e_mezzo,"scene_005_static_002_num02165_sim73.jpg,scene_006_static_003_num02459_sim84.jpg",Writers,,Federico Fellini,Ideato e diretto da,Writers,,first_half,"2165,2459",pending,1,federico fellini,nm0000019,auto_assigned,,Federico Fellini
14,8_e_mezzo,scene_005_static_002_num02165_sim73.jpg,Directors,,Federico Fellini,Ideato e diretto da,Directors,,first_half,2165,pending,1,federico fellini,nm0000019,auto_assigned,,Federico Fellini
15,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Writers,,Ennio Flaiano,SOGGETTO,Writers,,first_half,2459,pending,1,ennio flaiano,nm0280919,auto_assigned,,Ennio Flaiano
16,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Marcello Mastroianni,con,Cast,,first_half,2459,pending,1,marcello mastroianni,nm0000052,auto_assigned,,Marcello Mastroianni
17,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Federico Fellini,,Cast,,first_half,2459,pending,1,federico fellini,nm0000019,auto_assigned,,Federico Fellini
18,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Tullio Pinelli,,Cast,,first_half,2459,pending,1,tullio pinelli,,manual_required,"[{""nconst"": ""nm0684083"", ""normalized_name"": ""tullio pinelli"", ""primaryName"": ""Tullio Pinelli"", ""primaryProfession"": ""writer,archive_footage"", ""birthYear"": 1908, ""deathYear"": 2009}]",
19,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Ennio Flaiano,,Cast,,first_half,2459,pending,1,ennio flaiano,nm0280919,auto_assigned,,Ennio Flaiano
20,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Brunello Rondi,,Cast,,first_half,2459,pending,1,brunello rondi,nm0740021,auto_assigned,,Brunello Rondi
21,8_e_mezzo,scene_006_static_005_num02531_sim57.jpg,Cast,,Claudia Cardinale,con,Cast,,first_half,2531,pending,1,claudia cardinale,nm0001012,auto_assigned,,Claudia Cardinale
22,8_e_mezzo,scene_006_static_008_num02615_sim29.jpg,Cast,,Anouk Aimee,,Cast,,first_half,2615,pending,1,anouk aimee,nm0000733,auto_assigned,,Anouk Aimée
23,8_e_mezzo,scene_006_static_010_num02687_sim27.jpg,Cast,,Sandra Milo,,Cast,,first_half,2687,pending,1,sandra milo,nm0590452,auto_assigned,,Sandra Milo
24,8_e_mezzo,scene_006_static_011_num02759_sim25.jpg,Cast,,Rossella Falk,,Cast,,first_half,2759,pending,1,rossella falk,nm0266194,auto_assigned,,Rossella Falk
25,8_e_mezzo,scene_006_static_011_num02759_sim25.jpg,Cast,,Barbara Steele,,Cast,,first_half,2759,pending,1,barbara steele,nm0824489,auto_assigned,,Barbara Steele
26,8_e_mezzo,scene_006_static_013_num02867_sim75.jpg,Cast,,Madeleine Lebeau,,Cast,,first_half,2867,pending,1,madeleine lebeau,nm0495495,auto_assigned,,Madeleine Lebeau
27,8_e_mezzo,scene_006_static_013_num02867_sim75.jpg,Cast,,Caterina Boratto,,Cast,,first_half,2867,pending,1,caterina boratto,nm0095950,auto_assigned,,Caterina Boratto
28,8_e_mezzo,scene_006_static_013_num02867_sim75.jpg,Cast,,Edra Gale,,Cast,,first_half,2867,pending,1,edra gale,nm0301841,auto_assigned,,Eddra Gale
29,8_e_mezzo,scene_006_static_014_num02987_sim57.jpg,Cast,,Guido Alberti,,Cast,,first_half,2987,pending,1,guido alberti,nm0016646,auto_assigned,,Guido Alberti
30,8_e_mezzo,scene_006_static_014_num02987_sim57.jpg,Cast,,Mario Conocchia,,Cast,,first_half,2987,pending,1,mario conocchia,nm0175557,auto_assigned,,Mario Conocchia
31,8_e_mezzo,scene_006_static_014_num02987_sim57.jpg,Cast,,Bruno Agostini,,Cast,,first_half,2987,pending,1,bruno agostini,nm0013204,auto_assigned,,Bruno Agostini
32,8_e_mezzo,scene_006_static_014_num02987_sim57.jpg,Cast,,Cesarino Miceli Picardi,,Cast,,first_half,2987,pending,1,cesarino miceli picardi,nm0681428,auto_assigned,,Cesarino Miceli Picardi
33,8_e_mezzo,scene_006_static_015_num03131_sim43.jpg,Cast,,Jean Rougeul,,Cast,,first_half,3131,pending,1,jean rougeul,nm0745636,auto_assigned,,Jean Rougeul
34,8_e_mezzo,scene_006_static_015_num03131_sim43.jpg,Cast,,Yvonne Casadei,,Cast,,first_half,3131,pending,1,yvonne casadei,nm0142700,auto_assigned,,Yvonne Casadei
35,8_e_mezzo,scene_006_static_015_num03131_sim43.jpg,Cast,,Nadine Sanders,,Cast,,first_half,3131,pending,1,nadine sanders,gp0000006,internal_assigned,,
36,8_e_mezzo,scene_006_static_015_num03131_sim43.jpg,Cast,,Georgia Simmons,,Cast,,first_half,3131,pending,1,georgia simmons,nm0799763,auto_assigned,,Georgia Simmons
37,8_e_mezzo,scene_006_static_015_num03131_sim43.jpg,Cast,,Hedy Vessel,,Cast,,first_half,3131,pending,1,hedy vessel,nm0895299,auto_assigned,,Edy Vessel
38,8_e_mezzo,scene_006_static_016_num03139_sim53.jpg,Cast,,Mario Pisu,,Cast,,first_half,3139,pending,1,mario pisu,nm0685609,auto_assigned,,Mario Pisu
39,8_e_mezzo,scene_006_static_016_num03139_sim53.jpg,Cast,,Ian Dallas,,Cast,,first_half,3139,pending,1,ian dallas,nm0198036,auto_assigned,,Ian Dallas
