id,episode_id,source_frame,role_group,secondary_role_group,name,role_detail,role_group_normalized,role_group_corrected,scene_position,original_frame_number,reviewed_status,is_person,normalized_name,assigned_code,code_assignment_status,imdb_matches,imdb_name
1,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Miscellaneous Companies,,The Mediaset Collection,il film è stato restaurato da,Miscellaneous Companies,,first_half,363,pending,0,the mediaset collection,,,,
2,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Miscellaneous Companies,,Cinema Forever,il film è stato restaurato da,Miscellaneous Companies,,first_half,363,pending,0,cinema forever,,,,
3,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Thanks,,Carlo Bernasconi,Dedicato a,Thanks,,first_half,363,pending,1,carlo bernasconi,,,,
4,8_e_mezzo,scene_002_static_002_num00591_sim99.jpg,Miscellaneous Companies,,Scuola Nazionale di Cinema,in collaborazione con,Miscellaneous Companies,,first_half,591,pending,0,scuola nazionale di cinema,,,,
5,8_e_mezzo,scene_002_static_002_num00591_sim99.jpg,Miscellaneous Companies,,Centro Sperimentale di Cinematografia,in collaborazione con,Miscellaneous Companies,,first_half,591,pending,0,centro sperimentale di cinematografia,,,,
6,8_e_mezzo,scene_002_static_003_num00795_sim33.jpg,Miscellaneous Companies,,Cinecittà Holding,e con,Miscellaneous Companies,,first_half,795,pending,0,cinecitta holding,,,,
7,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Miscellaneous Companies,,Cinecittà Studios,restauro effettuato presso gli stabilimenti,Miscellaneous Companies,,first_half,939,pending,0,cinecitta studios,,,,
8,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Miscellaneous Companies,,Videorecording,restauro effettuato presso gli stabilimenti,Miscellaneous Companies,,first_half,939,pending,0,videorecording,,,,
9,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Additional Crew,,Manrico Masini,consulenza tecnica,Additional Crew,,first_half,939,pending,1,manrico masini,,,,
10,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Thanks,,Vincenzo Verzini,un particolare ringraziamento a,Thanks,,first_half,939,pending,1,vincenzo verzini,,,,
11,8_e_mezzo,scene_002_static_007_num01155_sim100.jpg,Miscellaneous Companies,,GRUPPO MEDIASET,CINEMA FOR EVER è un'iniziativa,Miscellaneous Companies,,first_half,1155,pending,0,gruppo mediaset,,,,
12,8_e_mezzo,scene_005_static_002_num02165_sim73.jpg,Producers,,Angelo Rizzoli,Prodotto da,Producers,,first_half,2165,pending,1,angelo rizzoli,,,,
13,8_e_mezzo,"scene_005_static_002_num02165_sim73.jpg,scene_006_static_003_num02459_sim84.jpg",Writers,,Federico Fellini,Ideato e diretto da,Writers,,first_half,"2165,2459",pending,1,federico fellini,,,,
14,8_e_mezzo,scene_005_static_002_num02165_sim73.jpg,Directors,,Federico Fellini,Ideato e diretto da,Directors,,first_half,2165,pending,1,federico fellini,,,,
15,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Writers,,Ennio Flaiano,SOGGETTO,Writers,,first_half,2459,pending,1,ennio flaiano,,,,
16,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Marcello Mastroianni,con,Cast,,first_half,2459,pending,1,marcello mastroianni,,,,
17,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Federico Fellini,,Cast,,first_half,2459,pending,1,federico fellini,,,,
18,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Tullio Pinelli,,Cast,,first_half,2459,pending,1,tullio pinelli,,,,
19,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Ennio Flaiano,,Cast,,first_half,2459,pending,1,ennio flaiano,,,,
20,8_e_mezzo,scene_006_static_003_num02459_sim84.jpg,Cast,,Brunello Rondi,,Cast,,first_half,2459,pending,1,brunello rondi,,,,
21,8_e_mezzo,scene_006_static_005_num02531_sim57.jpg,Cast,,Claudia Cardinale,con,Cast,,first_half,2531,pending,1,claudia cardinale,,,,
22,8_e_mezzo,scene_006_static_008_num02615_sim29.jpg,Cast,,Anouk Aimee,,Cast,,first_half,2615,pending,1,anouk aimee,,,,
23,8_e_mezzo,scene_006_static_010_num02687_sim27.jpg,Cast,,Sandra Milo,,Cast,,first_half,2687,pending,1,sandra milo,,,,
24,8_e_mezzo,scene_006_static_011_num02759_sim25.jpg,Cast,,Rossella Falk,,Cast,,first_half,2759,pending,1,rossella falk,,,,
25,8_e_mezzo,scene_006_static_011_num02759_sim25.jpg,Cast,,Barbara Steele,,Cast,,first_half,2759,pending,1,barbara steele,,,,
26,8_e_mezzo,scene_006_static_013_num02867_sim75.jpg,Cast,,Madeleine Lebeau,,Cast,,first_half,2867,pending,1,madeleine lebeau,,,,
27,8_e_mezzo,scene_006_static_013_num02867_sim75.jpg,Cast,,Caterina Boratto,,Cast,,first_half,2867,pending,1,caterina boratto,,,,
28,8_e_mezzo,scene_006_static_013_num02867_sim75.jpg,Cast,,Edra Gale,,Cast,,first_half,2867,pending,1,edra gale,,,,
29,8_e_mezzo,scene_006_static_014_num02987_sim57.jpg,Cast,,Guido Alberti,,Cast,,first_half,2987,pending,1,guido alberti,,,,
