nome;is_person;role_detail;role_group;numero_episodio;dubbing_type;imdb_nconst;nome_corretto_imdb;imdb_action;codice_corretto_imdb_umano;nome_corretto_umano
YOSHUA BERKOWITZ;TRUE;B-CAMERA / STEADICAM OPERATOR;Camera and Electrical Department;Dark S01E09;;nm3829056;Yoshua Berkowitz;A;;
YOUNES LABDI;TRUE;DAILY CAMERA ASSISTANTS;Camera and Electrical Department;Dark S01E09;;nm4964144;Younes Labdi;A;;
YVES BOCZEK;TRUE;STORE MANAGER;Additional Crew;Dark S01E09;;nm3767653;Yves Boczek;A;;
YVONNE GEILER;TRUE;1ST ASSISTANT B-CAMERA;Camera and Electrical Department;Dark S01E09;;nm0311978;Yvonne Geiler;A;;
ZWI ZAUSCH;TRUE;ASSISTANT EDITORS;Editorial Department;Dark S01E09;;nm6347525;Zwi Zausch;A;;
Özge Çeçen;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm13858225;Ozge Cecen;A;;
ABRIL ZAMORA;TRUE;;Cast;El desorden que dejas S01E03;;nm2837721;Abril Zamora;A;;
ALBERTE VÁZQUEZ;TRUE;Foquista A;Camera and Electrical Department;El desorden que dejas S01E03;;nm5649803;Alberte Vázquez;A;;
ALBERTO DA SINDA;TRUE;;Cast;El desorden que dejas S01E03;;nm5733563;Alberto da Sinda;A;;
ALBERTO SÁNCHEZ;TRUE;Diseño;Art Department;El desorden que dejas S01E03;;nm4672262;Alberto Sánchez;A;;
ALEJANDRA LOISEAU;TRUE;Directora de Arte;Art Directors;El desorden que dejas S01E03;;nm1069700;Alejandra Loiseau;A;;
Alejandro López;TRUE;Cortesía de;Composers;El desorden que dejas S01E03;;nm4481067;Alejandro López;A;;
Alejandro López;TRUE;Interpretado por;Composers;El desorden que dejas S01E03;;nm4481067;Alejandro López;A;;
Alejandro López;TRUE;Escrito;Composers;El desorden que dejas S01E03;;nm4481067;Alejandro López;A;;
Alejandro López;TRUE;Cortesía de;Composers;El desorden que dejas S01E03;;nm4481067;Alejandro López;A;;
Alejandro López;TRUE;Escrito;Composers;El desorden que dejas S01E03;;nm4481067;Alejandro López;A;;
Alejandro López;TRUE;Interpretado por;Composers;El desorden que dejas S01E03;;nm4481067;Alejandro López;A;;
Alessandro Budroni;TRUE;Demetrio;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm7581635;Alessandro Budroni;A;;
Alessio Nissolino;TRUE;Iago;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm7581647;Alessio Nissolino;A;;
Alex B. Kim;TRUE;Assistant Director;Dubbing;El desorden que dejas S01E03;Dubbing_Assistant Director;nm12405607;Alex B. Kim;A;;
Alexander Gaida;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm6246949;Alexander Gaida;A;;
ALFONSO AGRA;TRUE;;Cast;El desorden que dejas S01E03;;nm1173615;Alfonso Agra;A;;
ALFONSO AGRA;TRUE;;Cast;El desorden que dejas S01E03;;nm1173615;Alfonso Agra;A;;
Alice Bauer;TRUE;Nerea;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm6303797;Alice Bauer;A;;
Amadeus Strobl;TRUE;Iago;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm7439664;Amadeus Strobl;A;;
Amber Brooke;TRUE;Nerea;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm12608043;Amber Brooke;A;;
ANA ÁLVAREZ;TRUE;Atrecistas de Rodaje;Art Department;El desorden que dejas S01E03;;nm11964415;Ana Álvarez;A;;
ANA ALDREY;TRUE;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;nm2893733;Ana Aldrey;A;;
ANA SÁNCHEZ;TRUE;Ayudante de Decoración;Set Decorators;El desorden que dejas S01E03;;nm0844825;Ana Sánchez;A;;
ANDRÉS LOPETEGUI;TRUE;Color;Editorial Department;El desorden que dejas S01E03;;nm4327395;Andrés Lopetegui;A;;
ANDRÉS NADAL;TRUE;Localizadores;Location Managers;El desorden que dejas S01E03;;nm6328248;Andrés Nadal;A;;
ANDRÉS SEIJO;TRUE;Ayudantes de Producción;Production Managers;El desorden que dejas S01E03;;nm5951281;Andrés Seijo;A;;
Andrea Lavagnino;TRUE;Mauro;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm7581487;Andrea Lavagnino;A;;
ANNA HARRINGTON;TRUE;Montadora de Diálogos;Sound Department;El desorden que dejas S01E03;;nm4991070;Anna Harrington;A;;
ANXO OUTUMURO;TRUE;;Cast;El desorden que dejas S01E03;;nm12138740;Anxo Outumuro;A;;
ANXO RIVERA;TRUE;Especialistas;Stunts;El desorden que dejas S01E03;;nm10309607;Anxo Rivera;A;;
ARÓN PIPER;TRUE;;Cast;El desorden que dejas S01E03;;nm1422693;Arón Piper;A;;
ARÓN PIPER;TRUE;;Cast;El desorden que dejas S01E03;;nm1422693;Arón Piper;A;;
Armin Schlagwein;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm1566233;Armin Schlagwein;A;;
ASÍS GÓMEZ;TRUE;Artistas VFX;Visual Effects;El desorden que dejas S01E03;;nm10455470;Asís Gómez;A;;
Austin Snyder;TRUE;Project Manager;Dubbing;El desorden que dejas S01E03;Dubbing_Production managers;nm3902269;Austin Snyder;A;;
BÁRBARA LENNIE;TRUE;;Cast;El desorden que dejas S01E03;;nm1036659;Bárbara Lennie;A;;
BÁRBARA LENNIE;TRUE;;Cast;El desorden que dejas S01E03;;nm1036659;Bárbara Lennie;A;;
BEATRIZ SERÉN;TRUE;;Cast;El desorden que dejas S01E03;;nm4402870;Beatriz Serén;A;;
BENI;TRUE;Arte;Art Department;El desorden que dejas S01E03;;nm16772592;Beni;A;;
Bernhard Völger;TRUE;Demetrio;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm1414015;Bernhard Völger;A;;
Betty Förster;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm9482947;Betty Förster;A;;
BOI MARTÍNEZ;TRUE;Montadores de Efectos;Sound Department;El desorden que dejas S01E03;;nm5063397;Boi Martínez;A;;
BORIS RODRÍGUEZ;TRUE;Artistas VFX;Visual Effects;El desorden que dejas S01E03;;nm12018741;Boris Rodríguez;A;;
BORJA PENA;TRUE;Productores Ejecutivos;Producers;El desorden que dejas S01E03;;nm1394607;Borja Pena;A;;
BRAIS YANEK;TRUE;;Cast;El desorden que dejas S01E03;;nm5735375;Brais Yanek;A;;
CÉSAR CAMBEIRO;TRUE;;Cast;El desorden que dejas S01E03;;nm1408448;César Cambeiro;A;;
CAMILA BOSSA;TRUE;;Cast;El desorden que dejas S01E03;;nm0098090;Camila Bossa;A;;
CARLOS BODELÓN;TRUE;Diseño de Producción;Production Designers;El desorden que dejas S01E03;;nm0090855;Carlos Bodelón;A;;
CARLOS MIGUEL JIMÉNEZ;TRUE;;Cast;El desorden que dejas S01E03;;nm12138735;Carlos Miguel Jiménez;A;;
Carol Crespo;TRUE;Viruca;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0187494;Carol Crespo;A;;
CHELO FALCÓN;TRUE;;Cast;El desorden que dejas S01E03;;nm12021694;Chelo Falcón;A;;
CHEMA ALBA;TRUE;Color;Editorial Department;El desorden que dejas S01E03;;nm1994118;Chema Alba;A;;
CHEMA CASAL;TRUE;Conductor Camión;Transportation Department;El desorden que dejas S01E03;;nm11625529;Chema Casal;A;;
Christian Voigt;TRUE;Aufnahme;Dubbing_Sound;El desorden que dejas S01E03;Dubbing_Sound department;nm11019107;Christian Voigt;A;;
Christina Diamantara;TRUE;Dubbing Director;Dubbing;El desorden que dejas S01E03;Dubbing_Directors;nm10781529;Christina Diamantara;A;;
CONCHI IGLESIAS;TRUE;Coach;Additional Crew;El desorden que dejas S01E03;;nm1975090;Conchi Iglesias;A;;
CONCHI IGLESIAS;TRUE;Casting;Casting Directors;El desorden que dejas S01E03;;nm1975090;Conchi Iglesias;A;;
CONCHI IGLESIAS;TRUE;1™ Ayudantes de Dirección;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;nm1975090;Conchi Iglesias;A;;
CRISTINA MORALES;TRUE;Coordinadora de Producción;Production Managers;El desorden que dejas S01E03;;nm3780301;Cristina Morales;A;;
CRISTINA POMBO;TRUE;Vestuario;Costume and Wardrobe Department;El desorden que dejas S01E03;;nm11337078;Cristina Pombo;A;;
CURRO MUÑOZ;TRUE;Supervisor Departamento VFX;Visual Effects;El desorden que dejas S01E03;;nm1685865;Curro Muñoz;A;;
Damien Sauvestre;TRUE;Preneur de son;Dubbing_Sound;El desorden que dejas S01E03;Dubbing_Sound department;nm2059078;Damien Sauvestre;A;;
DANI TRILLO;TRUE;;Cast;El desorden que dejas S01E03;;nm7859544;Dani Trillo;A;;
DANIEL FERNÁNDEZ DURÁN;TRUE;Microfonistas;Sound Department;El desorden que dejas S01E03;;nm1831937;Daniel Fernández Durán;A;;
Daniel Gärtner;TRUE;Simón;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm1993456;Daniel Gärtner;A;;
Daniela Inserra;TRUE;Direzione del doppiaggio;Dubbing;El desorden que dejas S01E03;Dubbing_Directors;nm17046458;Daniela Inserra;A;;
DANIELLE SCHLEIF;TRUE;Traducciones Inglès;Additional Crew;El desorden que dejas S01E03;;nm1888893;Danielle Schleif;A;;
DARIO BASILE;TRUE;Producción VFX;Visual Effects;El desorden que dejas S01E03;;nm5681393;Darío Basile;A;;
DAVID GARCÍA DEL POZO;TRUE;Data Management;Editorial Department;El desorden que dejas S01E03;;nm13371293;David García del Pozo;A;;
DAVID OTERO;TRUE;Eléctricos y Maquinistas;Camera and Electrical Department;El desorden que dejas S01E03;;nm7307130;David Otero;A;;
DAVID VALLDEPÉREZ;TRUE;Dirección de Fotografía;Cinematographers;El desorden que dejas S01E03;;nm1955573;David Valldepérez;A;;
Dennis Sandmann;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm13064551;Dennis Sandmann;A;;
Donald Reignoux;TRUE;Iago;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm1465652;Donald Reignoux;A;;
Dr. Michael Nowka;TRUE;Dialogbuch;Dubbing;El desorden que dejas S01E03;Dubbing_Adaptors;nm0637457;Michael Nowka;A;;
Dr. Michael Nowka;TRUE;Dialogregie;Dubbing;El desorden que dejas S01E03;Dubbing_Directors;nm0637457;Michael Nowka;A;;
ELENA ARACÓ;TRUE;Mastering;Editorial Department;El desorden que dejas S01E03;;nm5486643;Elena Araco;A;;
ELENA BAHAMONDE;TRUE;Video Assist;Camera and Electrical Department;El desorden que dejas S01E03;;nm10165087;Elena Bahamonde;A;;
EMMA LUSTRES;TRUE;Productores Ejecutivos;Producers;El desorden que dejas S01E03;;nm1455093;Emma Lustres;A;;
ENRIQUE BATET;TRUE;Jefes de Producción;Production Managers;El desorden que dejas S01E03;;nm1849732;Enrique Batet;A;;
EREA PÉREZ;TRUE;Maquillaje y Peluquería;Makeup Department;El desorden que dejas S01E03;;nm3156009;Erea Pérez;A;;
Erich Talaba;TRUE;Recordist;Dubbing_Sound;El desorden que dejas S01E03;Dubbing_Sound department;nm2505795;Erich Talaba;A;;
ESTEBAN RODRÍGUEZ;TRUE;Asistencia Supervisión VFX;Visual Effects;El desorden que dejas S01E03;;nm15858399;Esteban Rodríguez;A;;
ESTER PERICAS;TRUE;Mastering;Editorial Department;El desorden que dejas S01E03;;nm8698682;Ester Pericas;A;;
EVA CAMINO;TRUE;Vestuario;Costume Designers;El desorden que dejas S01E03;;nm2790018;Eva Camino;A;;
EVE MARTÍNEZ;TRUE;Regidora;Art Department;El desorden que dejas S01E03;;nm11628644;Eve Martínez;A;;
Evie Saide;TRUE;Raquel;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm11872185;Evie Saide;A;;
FÁTIMA DAPENA;TRUE;Supervisora de Producción;Production Managers;El desorden que dejas S01E03;;nm3787619;Fátima Dapena;A;;
FANY VEIGA;TRUE;Coordinadores de Especialistas;Stunts;El desorden que dejas S01E03;;nm6421598;Fany Veiga;A;;
FEDE PÉREZ;TRUE;;Cast;El desorden que dejas S01E03;;nm4750996;Fede Pérez;A;;
FEDE PÉREZ;TRUE;;Cast;El desorden que dejas S01E03;;nm4750996;Fede Pérez;A;;
Federica De Bortoli;TRUE;Viruca;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm4526642;Federica De Bortoli;A;;
FERNANDO DEL POZO;TRUE;Grafista;Art Department;El desorden que dejas S01E03;;nm7724156;Fernando del Pozo;A;;
FERNANDO GONZÁLEZ;TRUE;Data Management;Editorial Department;El desorden que dejas S01E03;;nm6778115;Fernando González;A;;
FERNANDO GONZÁLEZ BOUZA;TRUE;Artistas VFX;Visual Effects;El desorden que dejas S01E03;;nm12018740;Fernando González Bouza;A;;
Filipe Rodrigues;TRUE;Mixagem;Dubbing_Sound;El desorden que dejas S01E03;Dubbing_Sound department;nm0735099;Filipe Rodrigues;A;;
FRAN PAZ;TRUE;;Cast;El desorden que dejas S01E03;;nm10597376;Fran Paz;A;;
FRANCESC JIMÉNEZ;TRUE;Script;Script and Continuity Department;El desorden que dejas S01E03;;nm3051689;Francesc Jiménez;A;;
FRANCESC JIMÉNEZ;TRUE;Dirección;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;nm3051689;Francesc Jiménez;A;;
Francesca Manicone;TRUE;Raquel;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm5800644;Francesca Manicone;A;;
Franziska Endres;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm4369858;Franziska Endres;A;;
Gianni Giuliano;TRUE;Tomás;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0321326;Gianni Giuliano;A;;
Guille Milkyway;TRUE;Escrito por;Composers;El desorden que dejas S01E03;;nm2893977;Guille Milkyway;A;;
GUILLERMO MORENO;TRUE;Operadores Cámara;Camera and Electrical Department;El desorden que dejas S01E03;;nm15950878;Guillermo Moreno;A;;
GUSTAVO BALZA;TRUE;Dirección;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;nm0051301;Gustavo Balza;A;;
Hanns Jörg Krumpholz;TRUE;Tomas;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0472741;Hanns Jörg Krumpholz;A;;
Hans Bayer;TRUE;Virucas's Father;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm1016259;Hans Bayer;A;;
Harriet Kracht;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm2669078;Harriet Kracht;A;;
HEBER FERNÁNDEZ;TRUE;Desarrollo de Proyectos;Additional Crew;El desorden que dejas S01E03;;nm7327873;Héber Fernández;A;;
IÑAKI BERAZA;TRUE;1™ Ayudantes de Dirección;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;nm1175035;Iñaki Beraza;A;;
IÑAKI BERAZA;TRUE;Coordinador de Dirección;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;nm1175035;Iñaki Beraza;A;;
IÑIGO GÓMEZ;TRUE;Masterización VOD;Editorial Department;El desorden que dejas S01E03;;nm3926836;Íñigo Gómez;A;;
Ilka Teichmüller;TRUE;Isa;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0853985;Ilka Teichmüller;A;;
ILLANA COSSÍO;TRUE;Video Assist;Camera and Electrical Department;El desorden que dejas S01E03;;nm4667332;Illana Cossio;A;;
INMA CUESTA;TRUE;;Cast;El desorden que dejas S01E03;;nm2285844;Inma Cuesta;A;;
INMA CUESTA;TRUE;;Cast;El desorden que dejas S01E03;;nm2285844;Inma Cuesta;A;;
IRENE BERCIANO;TRUE;;Cast;El desorden que dejas S01E03;;nm12138734;Irene Berciano;A;;
IRIA VARELA;TRUE;Eléctricos y Maquinistas;Camera and Electrical Department;El desorden que dejas S01E03;;nm8329956;Iria Varela;A;;
ISABEL REGA;TRUE;Foquista;Camera and Electrical Department;El desorden que dejas S01E03;;nm1850555;Isabel Rega;A;;
Isabela Quadros;TRUE;Carmen;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm7992971;Isabela Quadros;A;;
ITATÍ MOYANO;TRUE;1™ Ayudantes de Dirección;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;nm1301174;Itatí Moyano;A;;
IVONNE FUENTES;TRUE;Ayudantes de Vestuario;Costume and Wardrobe Department;El desorden que dejas S01E03;;nm10558603;Ivonne Fuentes;A;;
Jannik Endemann;TRUE;Germán;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm2566839;Jannik Endemann;A;;
JAVIER BELLO;TRUE;Atrecistas de Avance;Art Department;El desorden que dejas S01E03;;nm10300601;Javier Bello;A;;
JAVIER GALEGO;TRUE;;Cast;El desorden que dejas S01E03;;nm9823654;Javier Gálego;A;;
JESÚS CANO;TRUE;Data Management;Editorial Department;El desorden que dejas S01E03;;nm9042128;Jesús Cano;A;;
Joël Zaffarano;TRUE;Mauro;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm1222114;Joël Zaffarano;A;;
JOAQUÍN GUTIÉRREZ;TRUE;Composición 2D;Visual Effects;El desorden que dejas S01E03;;nm4672731;Joaquín Gutiérrez;A;;
Jolene Andersen;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm1579662;Jolene Andersen;A;;
JONÁS SOUTO;TRUE;Arte;Art Department;El desorden que dejas S01E03;;nm12002968;Jonás Souto;A;;
JOSÉ ÁNGEL ARES;TRUE;Storyboard;Art Department;El desorden que dejas S01E03;;nm11680119;José Ángel Ares;A;;
JOSÉ CORUXO;TRUE;Producción;Additional Crew;El desorden que dejas S01E03;;nm15098929;Jose Coruxo;A;;
JOSÉ SALGUEIRO;TRUE;Ayudantes de Producción;Production Managers;El desorden que dejas S01E03;;nm2955850;José Salgueiro;A;;
JOSE BAÑOS;TRUE;2™ Ayudantes de Dirección;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;nm3379409;José Baños;A;;
Josh Greenfield;TRUE;Recordist;Dubbing_Sound;El desorden que dejas S01E03;Dubbing_Sound department;nm11051853;Josh Greenfield;A;;
JOSUÉ PÉREZ FERNÁNDEZ;TRUE;Especialistas;Stunts;El desorden que dejas S01E03;;nm14460154;Josue Pérez Fernández;A;;
JUAN FIGUEIRAS;TRUE;Gaffer;Camera and Electrical Department;El desorden que dejas S01E03;;nm1850014;Juan Figueiras;A;;
JUAN FIGUEIRAS;TRUE;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;nm1850014;Juan Figueiras;A;;
JUAN GALIÑANES;TRUE;Dirección;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;nm3296976;Juan Galiñanes;A;;
JUAN RAMIL;TRUE;Auxiliares de Cámara;Camera and Electrical Department;El desorden que dejas S01E03;;nm3411186;Juan Ramil;A;;
JUAN RUBIO;TRUE;Ayudantes de Montaje de Sonido;Sound Department;El desorden que dejas S01E03;;nm4009871;Juan Rubio;A;;
JUANJO CARRETERO;TRUE;Director de Operaciones;Additional Crew;El desorden que dejas S01E03;;nm1366600;Juanjo Carretero;A;;
JUANJO RODRÍGUEZ;TRUE;Masterización VOD;Editorial Department;El desorden que dejas S01E03;;nm10104926;Juanjo Rodríguez;A;;
LAIA CASANOVAS;TRUE;Montadores de Efectos;Sound Department;El desorden que dejas S01E03;;nm4349901;Laia Casanovas;A;;
LARA GÓMEZ DEL PULGAR;TRUE;Coordinadora VFX;Visual Effects;El desorden que dejas S01E03;;nm11322033;Lara Gómez del Pulgar;A;;
LAURA IGLESIAS;TRUE;Auxiliares de Vestuario;Costume and Wardrobe Department;El desorden que dejas S01E03;;nm9853623;Laura Iglesias;A;;
LETICIA DELGADO;TRUE;Vestuario;Costume and Wardrobe Department;El desorden que dejas S01E03;;nm11281891;Leticia Delgado;A;;
LOLA NAVEIRA;TRUE;Maquillaje y Peluquería;Makeup Department;El desorden que dejas S01E03;;nm8539047;Lola Naveira;A;;
LOLI IGLESIAS;TRUE;Coordinadora de Postproducción;Editorial Department;El desorden que dejas S01E03;;nm4761554;Loli Iglesias;A;;
LUCÍA VEIGA;TRUE;;Cast;El desorden que dejas S01E03;;nm10224527;Lucía Veiga;A;;
LUCIO GODOY;TRUE;Música Original;Composers;El desorden que dejas S01E03;;nm0324184;Lucio Godoy;A;;
Lucrezia Marricchi;TRUE;Nerea;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm6205681;Lucrezia Marricchi;A;;
LUIS ESCALADA;TRUE;Mastering;Editorial Department;El desorden que dejas S01E03;;nm6348675;Luis Escalada;A;;
LUISA TREVIÑO;TRUE;;Cast;El desorden que dejas S01E03;;nm12138744;Luisa Treviño;A;;
MÓNICA CAMAÑO;TRUE;;Cast;El desorden que dejas S01E03;;nm1941458;Mónica Camaño;A;;
MACHI SALGADO;TRUE;;Cast;El desorden que dejas S01E03;;nm5735376;Machi Salgado;A;;
Magdalena Bartkiewicz;TRUE;Dialogi;Dubbing;El desorden que dejas S01E03;Dubbing_Adaptors;nm16262623;Magdalena Bartkiewicz;A;;
Manja Doering;TRUE;Viruca;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0230401;Manja Doering;A;;
Manuel Meli;TRUE;Roi;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm8514162;Manuel Meli;A;;
MARÍA TASENDE;TRUE;;Cast;El desorden que dejas S01E03;;nm1959448;María Tasende;A;;
MARC GONELL;TRUE;Efectos de Sala;Sound Department;El desorden que dejas S01E03;;nm0327283;Marc Gonell;A;;
MARC ORTS;TRUE;Supervisor Departamento de Sonido;Sound Department;El desorden que dejas S01E03;;nm0651377;Marc Orts;A;;
MARIÑA SAMPEDRO;TRUE;;Cast;El desorden que dejas S01E03;;nm3787046;Mariña Sampedro;A;;
Mario Klischies;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm3098375;Mario Klischies;A;;
MARIO MARTÍNEZ DUQUE;TRUE;Conformado;Editorial Department;El desorden que dejas S01E03;;nm9779378;Mario Martínez Duque;A;;
MARTÍN RAMUDO;TRUE;Localizadores;Location Managers;El desorden que dejas S01E03;;nm2114873;Martín Ramudo;A;;
MARTÍN RAMUDO;TRUE;Producción;Production Managers;El desorden que dejas S01E03;;nm2114873;Martín Ramudo;A;;
MARTA VICENTE;TRUE;Técnico de Grabación de Efectos;Sound Department;El desorden que dejas S01E03;;nm7064754;Marta Vicente;A;;
Massimo Triggiani;TRUE;Germán;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm2522963;Massimo Triggiani;A;;
Mateo Barragan;TRUE;Recordist;Dubbing_Sound;El desorden que dejas S01E03;Dubbing_Sound department;nm8204938;Mateo Barragan;A;;
Mathieu Richer;TRUE;Directeur Artistique;Dubbing;El desorden que dejas S01E03;Dubbing_Art Directors;nm11118685;Mathieu Richer;A;;
Matthias Schwab;TRUE;Mischung;Dubbing_Sound;El desorden que dejas S01E03;Dubbing_Sound department;nm1281149;Matthias Schwab;A;;
Max Felder;TRUE;Roi;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0270955;Max Felder;A;;
McKeidy Lisita;TRUE;Germán;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm11016343;Mckeidy Lisita;A;;
MELA CASAL;TRUE;;Cast;El desorden que dejas S01E03;;nm0142790;Mela Casal;A;;
Melise Maia;TRUE;Carmína;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0537344;Melise Maia;A;;
MIGUEL SAA;TRUE;;Cast;El desorden que dejas S01E03;;nm12138741;Miguel Saa;A;;
NADIA TORRIJOS;TRUE;Atrecistas de Rodaje;Art Department;El desorden que dejas S01E03;;nm15748075;Nadia Torrijos;A;;
Nando Schmitz;TRUE;;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm5161118;Nando Schmitz;A;;
NANI MATOS;TRUE;;Cast;El desorden que dejas S01E03;;nm3408644;Nani Matos;A;;
NATALIA ARCAY;TRUE;Ayudantes de Maquillaje;Makeup Department;El desorden que dejas S01E03;;nm2891568;Natalia Arcay;A;;
NATALIA MONTES;TRUE;Realización;Additional Crew;El desorden que dejas S01E03;;nm1221358;Natalia Montes;A;;
NOA RODRÍGUEZ;TRUE;Diseño;Art Department;El desorden que dejas S01E03;;nm12492004;Noa Rodríguez;A;;
NOELIA ARCAY;TRUE;Ayudante de Peluquería;Makeup Department;El desorden que dejas S01E03;;nm2891789;Noelia Arcay;A;;
NURIA MONTERO;TRUE;;Cast;El desorden que dejas S01E03;;nm12138737;Nuria Montero;A;;
OLALLA TESOURO;TRUE;Vestuario;Costume and Wardrobe Department;El desorden que dejas S01E03;;nm5649260;Olalla Tesouro;A;;
OLGA PAIS;TRUE;Ayudante de Regiduría;Art Department;El desorden que dejas S01E03;;nm11383848;Olga Pais;A;;
Oliver Siebeck;TRUE;Mauro;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm2099677;Oliver Siebeck;A;;
PABLO ANTEPAZO;TRUE;Especialistas;Stunts;El desorden que dejas S01E03;;nm9692357;Pablo Antepazo;A;;
PABLO LAMOSA;TRUE;Asistencia Supervisión VFX;Visual Effects;El desorden que dejas S01E03;;nm5649696;Pablo Lamosa;A;;
PABLO POLO;TRUE;Mastering;Editorial Department;El desorden que dejas S01E03;;nm2901042;Pablo Polo;A;;
PABLO PORTELA;TRUE;Eléctricos y Maquinistas;Camera and Electrical Department;El desorden que dejas S01E03;;nm2788422;Pablo Portela;A;;
PAULA LIDÓN CAÑADA;TRUE;Coordinación de Postproducción;Editorial Department;El desorden que dejas S01E03;;nm6623155;Paula Lidón Cañada;A;;
Pedro Crispim;TRUE;Roi;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm16241222;Pedro Crispim;A;;
PEDRO LARA;TRUE;Artistas VFX;Visual Effects;El desorden que dejas S01E03;;nm2795321;Pedro Lara;A;;
PEDRO RUDOLPHI;TRUE;;Cast;El desorden que dejas S01E03;;nm6353378;Pedro Rudolphi;A;;
PEDRO VEIGA;TRUE;Especialistas;Stunts;El desorden que dejas S01E03;;nm6421599;Pedro Veiga;A;;
PEPO SUEVOS;TRUE;;Cast;El desorden que dejas S01E03;;nm1442840;Pepo Suevos;A;;
Peter Jessop;TRUE;Mauro;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0422247;Peter Jessop;A;;
Philippa Jarke;TRUE;Tere;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm16673938;Philippa Jarke;A;;
PIA NICOLETTI;TRUE;;Cast;El desorden que dejas S01E03;;nm12138739;Pia Nicoletti;A;;
PIO;TRUE;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;nm10220138;Pío;A;;
RAÚL MONGE;TRUE;Diseño;Art Department;El desorden que dejas S01E03;;nm2153223;Raúl Monge;A;;
Rabea Matthies;TRUE;Schnitt;Dubbing_Sound;El desorden que dejas S01E03;Dubbing_Sound department;nm2709574;Rabea Matthies;A;;
RAFA FLORIDO;TRUE;Masterización VOD;Editorial Department;El desorden que dejas S01E03;;nm7323606;Rafa Florido;A;;
Renato Rosenberg;TRUE;Ramón;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm8532584;Renato Rosenberg;A;;
RICARDO CURTO;TRUE;Música Original;Composers;El desorden que dejas S01E03;;nm9752310;Ricardo Curto;A;;
RICARDO G. ELIPE;TRUE;Supervisor VFX;Visual Effects;El desorden que dejas S01E03;;nm0253680;Ricardo G. Elipe;A;;
Ricardo Rossatto;TRUE;Tomás;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm8853285;Ricardo Rossatto;A;;
Richard Cansino;TRUE;Tomas;Dubbing;El desorden que dejas S01E03;Dubbing_Cast;nm0134449;Richard Cansino;A;;
