nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
DEWEY A. REED;TRUE;Drivers;Transportation Department;Se7en;nm0715385;Dewey A. Reed;A;nm0715385;Dewey A. Reed;A;nm0715385;Dewey A. Reed;A;nm0715385;Dewey A. Reed;A;nm0715385;Dewey A. Reed;A;nm0715385;Dewey A. Reed;A;nm0715385;Dewey A. Reed;A;;
DIANA LABRADOR;TRUE;Coordinadora de SubtÃ­tulos;Editorial Department;El desorden que dejas S01E03;;DIANA LABRADOR;X;;DIANA LABRADOR;X;;DIANA LABRADOR;X;;DIANA LABRADOR;X;;DIANA LABRADOR;X;;DIANA LABRADOR;X;;DIANA LABRADOR;X;;
DIANA VICTOR;TRUE;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;DIANA VICTOR;X;;DIANA VICTOR;X;;DIANA VICTOR;X;;DIANA VICTOR;X;;DIANA VICTOR;X;;DIANA VICTOR;X;;DIANA VICTOR;X;;
STEVE SEMEL;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;;STEVE SEMEL;X;;STEVE SEMEL;X;;STEVE SEMEL;X;;STEVE SEMEL;X;;STEVE SEMEL;X;;STEVE SEMEL;X;;STEVE SEMEL;X;;
DICK WHITE;TRUE;Aerial Coordinators;Stunts;Apocalypse Now;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;;
DICK WHITE;TRUE;Military Advisors;Additional Crew;Apocalypse Now;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;nm0924715;Dick White;A;;
DICK WHITE;TRUE;Helicopter Pilot;Cast;Apocalypse Now;;DICK WHITE;X;;DICK WHITE;X;;DICK WHITE;X;;DICK WHITE;X;;DICK WHITE;X;;DICK WHITE;X;;DICK WHITE;X;;
Didier Guyard;TRUE;Peintres patineurs;Art Department;Amelie;nm0349857;Didier Guyard;A;nm0349857;Didier Guyard;A;nm0349857;Didier Guyard;A;nm0349857;Didier Guyard;A;nm0349857;Didier Guyard;A;nm0349857;Didier Guyard;A;nm0349857;Didier Guyard;A;;
Didier Lefouest;TRUE;Coloriste numÃ©rique;Color Department;Amelie;;Didier Lefouest;X;;Didier Lefouest;X;;Didier Lefouest;X;;Didier Lefouest;X;;Didier Lefouest;X;;Didier Lefouest;X;;Didier Lefouest;X;;
Didier Lizé;TRUE;mixÃ©e par;Music Department;Amelie;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;;
Didier Lizé;TRUE;Musique originale enregistrÃ©e par;Music Department;Amelie;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;nm0515466;Didier Lizé;A;;
DIEGO ALCHIMEDE;TRUE;direttore di produzione;Production Managers;La piovra S01E02;nm0017223;Diego Alchimede;A;nm0017223;Diego Alchimede;A;nm0017223;Diego Alchimede;A;nm0017223;Diego Alchimede;A;nm0017223;Diego Alchimede;A;nm0017223;Diego Alchimede;A;nm0017223;Diego Alchimede;A;;
Diego Esposito;TRUE;;Thanks;La grande bellezza;;Diego Esposito;X;;Diego Esposito;X;;Diego Esposito;X;;Diego Esposito;X;;Diego Esposito;X;;Diego Esposito;X;;Diego Esposito;X;;
DIEGO GARCÍA;TRUE;Director de Ventas Media Services;Additional Crew;El desorden que dejas S01E03;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;
Diego Lima;TRUE;Aleksander jovem;Voice Actors - Dubbing;Dark S01E09;nm0510649;Diego Lima;A;nm0510649;Diego Lima;A;nm0510649;Diego Lima;A;nm0510649;Diego Lima;A;nm0510649;Diego Lima;A;nm0510649;Diego Lima;A;nm0510649;Diego Lima;A;;
DIEGO VÁZQUEZ;TRUE;;Cast;El desorden que dejas S01E03;;DIEGO VÁZQUEZ;X;;DIEGO VÁZQUEZ;X;;DIEGO VÁZQUEZ;X;;DIEGO VÁZQUEZ;X;;DIEGO VÁZQUEZ;X;;DIEGO VÁZQUEZ;X;;DIEGO VÁZQUEZ;X;;
DIERDRE DOWNING-JACKSON;TRUE;Business Woman on Plane;Cast;Fight Club;nm0236148;Dierdre Downing-Jackson;A;nm0236148;Dierdre Downing-Jackson;A;nm0236148;Dierdre Downing-Jackson;A;nm0236148;Dierdre Downing-Jackson;A;nm0236148;Dierdre Downing-Jackson;A;nm0236148;Dierdre Downing-Jackson;A;nm0236148;Dierdre Downing-Jackson;A;;
DIETMAR HAUPT;TRUE;2ND UNIT GAFFERS;Camera and Electrical Department;Dark S01E09;nm0369435;Dietmar Haupt;A;nm0369435;Dietmar Haupt;A;nm0369435;Dietmar Haupt;A;nm0369435;Dietmar Haupt;A;nm0369435;Dietmar Haupt;A;nm0369435;Dietmar Haupt;A;nm0369435;Dietmar Haupt;A;;
DIMA SHEVCHENKO;TRUE;Location Managers;Location Managers;Chernobyl S01E01;;DIMA SHEVCHENKO;X;;DIMA SHEVCHENKO;X;;DIMA SHEVCHENKO;X;;DIMA SHEVCHENKO;X;;DIMA SHEVCHENKO;X;;DIMA SHEVCHENKO;X;;DIMA SHEVCHENKO;X;;
DINA WAXMAN;TRUE;Script Supervisor;Script and Continuity Department;Fight Club;nm0915391;Dina Waxman;A;nm0915391;Dina Waxman;A;nm0915391;Dina Waxman;A;nm0915391;Dina Waxman;A;nm0915391;Dina Waxman;A;nm0915391;Dina Waxman;A;nm0915391;Dina Waxman;A;;
TRACEY SMITH;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;nm0810209;Tracey Smith;A;nm0810209;Tracey Smith;A;nm0810209;Tracey Smith;A;nm0810209;Tracey Smith;A;nm0810209;Tracey Smith;A;nm0810209;Tracey Smith;A;nm0810209;Tracey Smith;A;;
Dino Lollobrigida;TRUE;Duplicazioni;Editorial Department;Romanzo criminale S01E01;nm7125301;Dino Lollobrigida;A;nm7125301;Dino Lollobrigida;A;nm7125301;Dino Lollobrigida;A;nm7125301;Dino Lollobrigida;A;nm7125301;Dino Lollobrigida;A;nm7125301;Dino Lollobrigida;A;nm7125301;Dino Lollobrigida;A;;
DIRK SIEHLMANN;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;nm1762897;Dirk Siehlmann;A;nm1762897;Dirk Siehlmann;A;nm1762897;Dirk Siehlmann;A;nm1762897;Dirk Siehlmann;A;nm1762897;Dirk Siehlmann;A;nm1762897;Dirk Siehlmann;A;nm1762897;Dirk Siehlmann;A;;
Discode;TRUE;Interpretada por;Soundtrack;El desorden que dejas S01E03;;Discode;X;;Discode;X;;Discode;X;;Discode;X;;Discode;X;;Discode;X;;Discode;X;;
DMITRIJ SINELSCIKOV;TRUE;Electricians;Camera and Electrical Department;Chernobyl S01E01;nm8457738;Dmitrij Sinelscikov;A;nm8457738;Dmitrij Sinelscikov;A;nm8457738;Dmitrij Sinelscikov;A;nm8457738;Dmitrij Sinelscikov;A;nm8457738;Dmitrij Sinelscikov;A;nm8457738;Dmitrij Sinelscikov;A;nm8457738;Dmitrij Sinelscikov;A;;
DMITRIY KLUBNICHKIN;TRUE;Drone Operator;Camera and Electrical Department;Chernobyl S01E01;nm10838751;Dmitry Klubnichkin;M;nm10838751;Dmitry Klubnichkin;M;nm10838751;Dmitry Klubnichkin;M;nm10838751;Dmitry Klubnichkin;M;nm10838751;Dmitry Klubnichkin;M;;DMITRIY KLUBNICHKIN;X;;DMITRIY KLUBNICHKIN;X;;
CHRISTINE CROW;TRUE;Assistant Floor Manager;Additional Crew;Yes, Prime Minister S01E08;nm0189530;Christine Crow;A;nm0189530;Christine Crow;A;nm0189530;Christine Crow;A;nm0189530;Christine Crow;A;nm0189530;Christine Crow;A;nm0189530;Christine Crow;A;nm0189530;Christine Crow;A;;
DMITRIY OGIENKO;TRUE;Construction Buyers;Art Department;Chernobyl S01E01;;DMITRIY OGIENKO;X;;DMITRIY OGIENKO;X;;DMITRIY OGIENKO;X;;DMITRIY OGIENKO;X;;DMITRIY OGIENKO;X;;DMITRIY OGIENKO;X;;DMITRIY OGIENKO;X;;
DMITRY KOKOREV;TRUE;Transport Captain;Transportation Department;Chernobyl S01E01;;DMITRY KOKOREV;X;;DMITRY KOKOREV;X;;DMITRY KOKOREV;X;;DMITRY KOKOREV;X;;DMITRY KOKOREV;X;;DMITRY KOKOREV;X;;DMITRY KOKOREV;X;;
DMITRY PERVUSHIN;TRUE;Script Supervisor;Script and Continuity Department;Chernobyl S01E01;nm4510313;Dmitry Pervushin;A;nm4510313;Dmitry Pervushin;A;nm4510313;Dmitry Pervushin;A;nm4510313;Dmitry Pervushin;A;nm4510313;Dmitry Pervushin;A;nm4510313;Dmitry Pervushin;A;nm4510313;Dmitry Pervushin;A;;
DOC KANE;TRUE;ADR Mixers;Sound Department;Fight Club;nm0437301;Doc Kane;A;nm0437301;Doc Kane;A;nm0437301;Doc Kane;A;nm0437301;Doc Kane;A;nm0437301;Doc Kane;A;nm0437301;Doc Kane;A;nm0437301;Doc Kane;A;;
ASTA OSTROVSKAJA;TRUE;Assistant Graphic Designer;Art Department;Chernobyl S01E01;nm10675514;Asta Ostrovskaja;A;nm10675514;Asta Ostrovskaja;A;nm10675514;Asta Ostrovskaja;A;nm10675514;Asta Ostrovskaja;A;nm10675514;Asta Ostrovskaja;A;nm10675514;Asta Ostrovskaja;A;nm10675514;Asta Ostrovskaja;A;;
DOMANTAS JAKUCIONIS;TRUE;Draftsmen;Art Department;Chernobyl S01E01;nm7828586;Domantas Jakucionis;A;nm7828586;Domantas Jakucionis;A;nm7828586;Domantas Jakucionis;A;nm7828586;Domantas Jakucionis;A;nm7828586;Domantas Jakucionis;A;nm7828586;Domantas Jakucionis;A;nm7828586;Domantas Jakucionis;A;;
DOMENIC H. SILVESTRI;TRUE;Set Designers;Art Department;Fight Club;nm0799135;Domenic Silvestri;M;nm0799135;Domenic Silvestri;M;nm0799135;Domenic Silvestri;M;nm0799135;Domenic Silvestri;M;;DOMENIC H. SILVESTRI;X;;DOMENIC H. SILVESTRI;X;;DOMENIC H. SILVESTRI;X;;
TOMAS JANKAUSKAS;TRUE;Assistant Graphic Designer;Art Department;Chernobyl S01E01;nm8785078;Tomas Jankauskas;A;nm8785078;Tomas Jankauskas;A;nm8785078;Tomas Jankauskas;A;nm8785078;Tomas Jankauskas;A;nm8785078;Tomas Jankauskas;A;nm8785078;Tomas Jankauskas;A;nm8785078;Tomas Jankauskas;A;;
DOMINEE REID;TRUE;Scenic Artists;Art Department;Chernobyl S01E01;nm3575021;Dominee Reid;A;nm3575021;Dominee Reid;A;nm3575021;Dominee Reid;A;nm3575021;Dominee Reid;A;nm3575021;Dominee Reid;A;nm3575021;Dominee Reid;A;nm3575021;Dominee Reid;A;;
DOMINIK POTT;TRUE;FX ARTISTS;Visual Effects;Dark S01E09;nm6507820;Dominik Pott;A;nm6507820;Dominik Pott;A;nm6507820;Dominik Pott;A;nm6507820;Dominik Pott;A;nm6507820;Dominik Pott;A;nm6507820;Dominik Pott;A;nm6507820;Dominik Pott;A;;
Dominique Bettenfeld;TRUE;le voisin d'AmÃ©lie;Cast;Amelie;nm0079312;Dominique Bettenfeld;A;nm0079312;Dominique Bettenfeld;A;nm0079312;Dominique Bettenfeld;A;nm0079312;Dominique Bettenfeld;A;nm0079312;Dominique Bettenfeld;A;nm0079312;Dominique Bettenfeld;A;nm0079312;Dominique Bettenfeld;A;;
Dominique BRENGUIER;TRUE;Image A.F.C;Cinematographers;Maigret S03E01;nm0107214;Dominique Brenguier;A;nm0107214;Dominique Brenguier;A;nm0107214;Dominique Brenguier;A;nm0107214;Dominique Brenguier;A;nm0107214;Dominique Brenguier;A;nm0107214;Dominique Brenguier;A;nm0107214;Dominique Brenguier;A;;
Dominique Colin;TRUE;Cameraman manivelle;Camera and Electrical Department;Amelie;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;
Dominique DELGUSTE;TRUE;Monteur son;Sound Department;Maigret S03E01;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;;
Dominique Galichet;TRUE;Renforts maquillage;Makeup Department;Amelie;nm0302092;Dominique Galichet;A;nm0302092;Dominique Galichet;A;nm0302092;Dominique Galichet;A;nm0302092;Dominique Galichet;A;nm0302092;Dominique Galichet;A;nm0302092;Dominique Galichet;A;nm0302092;Dominique Galichet;A;;
DOMINIQUE JENNINGS;TRUE;TV News Reporter;Cast;Se7en;nm0005051;Dominique Jennings;A;nm0005051;Dominique Jennings;A;nm0005051;Dominique Jennings;A;nm0005051;Dominique Jennings;A;nm0005051;Dominique Jennings;A;nm0005051;Dominique Jennings;A;nm0005051;Dominique Jennings;A;;
Dominique Lepage;TRUE;Machinistes;Camera and Electrical Department;Amelie;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;;
Dominique Pinon;TRUE;;Cast;Amelie;nm0684500;Dominique Pinon;A;nm0684500;Dominique Pinon;A;nm0684500;Dominique Pinon;A;nm0684500;Dominique Pinon;A;nm0684500;Dominique Pinon;A;nm0684500;Dominique Pinon;A;nm0684500;Dominique Pinon;A;;
DON COUFAL;TRUE;Boom Operator;Sound Department;Fight Club;nm0183304;Don Coufal;A;nm0183304;Don Coufal;A;nm0183304;Don Coufal;A;nm0183304;Don Coufal;A;nm0183304;Don Coufal;A;nm0183304;Don Coufal;A;nm0183304;Don Coufal;A;;
Don Leaver;TRUE;Producer;Producers;Prime Suspect S01E01;nm0495361;Don Leaver;A;nm0495361;Don Leaver;A;nm0495361;Don Leaver;A;nm0495361;Don Leaver;A;nm0495361;Don Leaver;A;nm0495361;Don Leaver;A;nm0495361;Don Leaver;A;;
DON MORGAN;TRUE;Aerial Cameraman;Camera and Electrical Department;Se7en;;DON MORGAN;X;;DON MORGAN;X;;DON MORGAN;X;;DON MORGAN;X;;DON MORGAN;X;;DON MORGAN;X;;DON MORGAN;X;;
Don Nelson;TRUE;written and performed by;Soundtrack;Eternal Sunshine of the Spotless Mind;nm0625317;Don Nelson;A;nm0625317;Don Nelson;A;nm0625317;Don Nelson;A;nm0625317;Don Nelson;A;nm0625317;Don Nelson;A;nm0625317;Don Nelson;A;nm0625317;Don Nelson;A;;
BQ España;FALSE;;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
DON PRESTON;TRUE;Synthesists;Music Department;Apocalypse Now;;DON PRESTON;X;;DON PRESTON;X;;DON PRESTON;X;;DON PRESTON;X;;DON PRESTON;X;;DON PRESTON;X;;DON PRESTON;X;;
Don Stark;TRUE;Helge Doppler (1986);Voice Actors - Dubbing;Dark S01E09;;Don Stark;X;;Don Stark;X;;Don Stark;X;;Don Stark;X;;Don Stark;X;;Don Stark;X;;Don Stark;X;;
DON YAKLIN;TRUE;Propmakers;Property Department;Se7en;nm0945037;Don Yaklin;A;nm0945037;Don Yaklin;A;nm0945037;Don Yaklin;A;nm0945037;Don Yaklin;A;nm0945037;Don Yaklin;A;nm0945037;Don Yaklin;A;nm0945037;Don Yaklin;A;;
DONALD KAUFMAN;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;;
DONALD REDOGLIA;TRUE;Propmaker Gang Bosses;Property Department;Se7en;nm0715109;Donald Redoglia;A;nm0715109;Donald Redoglia;A;nm0715109;Donald Redoglia;A;nm0715109;Donald Redoglia;A;nm0715109;Donald Redoglia;A;nm0715109;Donald Redoglia;A;nm0715109;Donald Redoglia;A;;
Donald Reignoux;TRUE;Iago;Voice Actors - Dubbing;El desorden que dejas S01E03;nm1465652;Donald Reignoux;A;nm1465652;Donald Reignoux;A;nm1465652;Donald Reignoux;A;nm1465652;Donald Reignoux;A;nm1465652;Donald Reignoux;A;nm1465652;Donald Reignoux;A;nm1465652;Donald Reignoux;A;;
DONALD SUMPTER;TRUE;Zharkov;Cast;Chernobyl S01E01;nm0838910;Donald Sumpter;A;nm0838910;Donald Sumpter;A;nm0838910;Donald Sumpter;A;nm0838910;Donald Sumpter;A;nm0838910;Donald Sumpter;A;nm0838910;Donald Sumpter;A;nm0838910;Donald Sumpter;A;;
DONATA PORVANECKAITE;TRUE;Breakdown Artists;Costume and Wardrobe Department;Chernobyl S01E01;;DONATA PORVANECKAITE;X;;DONATA PORVANECKAITE;X;;DONATA PORVANECKAITE;X;;DONATA PORVANECKAITE;X;;DONATA PORVANECKAITE;X;;DONATA PORVANECKAITE;X;;DONATA PORVANECKAITE;X;;
DONATAS BAKANAS;TRUE;Unit Manager;Production Managers;Chernobyl S01E01;nm8317032;Donatas Bakanas;A;nm8317032;Donatas Bakanas;A;nm8317032;Donatas Bakanas;A;nm8317032;Donatas Bakanas;A;nm8317032;Donatas Bakanas;A;nm8317032;Donatas Bakanas;A;nm8317032;Donatas Bakanas;A;;
DONATAS PIRSTELIS;TRUE;Construction Managers;Art Department;Chernobyl S01E01;nm4907644;Donatas Pirstelis;A;nm4907644;Donatas Pirstelis;A;nm4907644;Donatas Pirstelis;A;nm4907644;Donatas Pirstelis;A;nm4907644;Donatas Pirstelis;A;nm4907644;Donatas Pirstelis;A;nm4907644;Donatas Pirstelis;A;;
Donatella Podano;TRUE;Aggiunti trucco;Makeup Department;La grande bellezza;nm2156442;Donatella Podano;A;nm2156442;Donatella Podano;A;nm2156442;Donatella Podano;A;nm2156442;Donatella Podano;A;nm2156442;Donatella Podano;A;nm2156442;Donatella Podano;A;nm2156442;Donatella Podano;A;;
Donna Pieroni;TRUE;Claudia Tiedemann (2019);Voice Actors - Dubbing;Dark S01E09;;Donna Pieroni;X;;Donna Pieroni;X;;Donna Pieroni;X;;Donna Pieroni;X;;Donna Pieroni;X;;Donna Pieroni;X;;Donna Pieroni;X;;
DORCAS COCHRAN;TRUE;Written by (In The Beginning);Soundtrack;Se7en;nm0168158;Dorcas Cochran;A;nm0168158;Dorcas Cochran;A;nm0168158;Dorcas Cochran;A;nm0168158;Dorcas Cochran;A;nm0168158;Dorcas Cochran;A;nm0168158;Dorcas Cochran;A;nm0168158;Dorcas Cochran;A;;
CHRISTIE CEAN GEORGE;TRUE;Casting Assistant;Casting Department;Fight Club;;CHRISTIE CEAN GEORGE;X;;CHRISTIE CEAN GEORGE;X;;CHRISTIE CEAN GEORGE;X;;CHRISTIE CEAN GEORGE;X;;CHRISTIE CEAN GEORGE;X;;CHRISTIE CEAN GEORGE;X;;CHRISTIE CEAN GEORGE;X;;
ELAINE J. HUZZAR;TRUE;Casting Assistant;Casting Department;Twin Peaks S01E03;nm0404803;Elaine J. Huzzar;A;nm0404803;Elaine J. Huzzar;A;nm0404803;Elaine J. Huzzar;A;nm0404803;Elaine J. Huzzar;A;nm0404803;Elaine J. Huzzar;A;nm0404803;Elaine J. Huzzar;A;nm0404803;Elaine J. Huzzar;A;;
Dory;TRUE;Words and Music by;Soundtrack;Fight Club;;Dory;X;;Dory;X;;Dory;X;;Dory;X;;Dory;X;;Dory;X;;Dory;X;;
DOTAN BONEN;TRUE;security for mr. carrey;Additional Crew;Eternal Sunshine of the Spotless Mind;nm0094278;Dotan Bonen;A;nm0094278;Dotan Bonen;A;nm0094278;Dotan Bonen;A;nm0094278;Dotan Bonen;A;nm0094278;Dotan Bonen;A;nm0094278;Dotan Bonen;A;nm0094278;Dotan Bonen;A;;
DOUG CLAYBOURNE;TRUE;Post Production Coordinators;Editorial Department;Apocalypse Now;;DOUG CLAYBOURNE;X;;DOUG CLAYBOURNE;X;;DOUG CLAYBOURNE;X;;DOUG CLAYBOURNE;X;;DOUG CLAYBOURNE;X;;DOUG CLAYBOURNE;X;;DOUG CLAYBOURNE;X;;
CHRISTOPHER MARSH;TRUE;assistant location manager;Location Managers;Eternal Sunshine of the Spotless Mind;;CHRISTOPHER MARSH;X;;CHRISTOPHER MARSH;X;;CHRISTOPHER MARSH;X;;CHRISTOPHER MARSH;X;;CHRISTOPHER MARSH;X;;CHRISTOPHER MARSH;X;;CHRISTOPHER MARSH;X;;
Doug Fisher;TRUE;Edward Harvey;Cast;Prime Suspect S01E01;nm0279464;Doug Fisher;A;nm0279464;Doug Fisher;A;nm0279464;Doug Fisher;A;nm0279464;Doug Fisher;A;nm0279464;Doug Fisher;A;nm0279464;Doug Fisher;A;nm0279464;Doug Fisher;A;;
DOUG MADISON;TRUE;Property Master;Property Department;Apocalypse Now;;DOUG MADISON;X;;DOUG MADISON;X;;DOUG MADISON;X;;DOUG MADISON;X;;DOUG MADISON;X;;DOUG MADISON;X;;DOUG MADISON;X;;
DOUG RYAN;TRUE;Military Advisors;Additional Crew;Apocalypse Now;nm0752517;Doug Ryan;A;nm0752517;Doug Ryan;A;nm0752517;Doug Ryan;A;nm0752517;Doug Ryan;A;nm0752517;Doug Ryan;A;nm0752517;Doug Ryan;A;nm0752517;Doug Ryan;A;;
DOUG SIECK;TRUE;Set Dressers;Art Department;Fight Club;;DOUG SIECK;X;;DOUG SIECK;X;;DOUG SIECK;X;;DOUG SIECK;X;;DOUG SIECK;X;;DOUG SIECK;X;;DOUG SIECK;X;;
DOUG WINNINGHAM;TRUE;Sound Apprentice;Sound Department;Fight Club;nm0975268;Doug Winningham;A;nm0975268;Doug Winningham;A;nm0975268;Doug Winningham;A;nm0975268;Doug Winningham;A;nm0975268;Doug Winningham;A;nm0975268;Doug Winningham;A;nm0975268;Doug Winningham;A;;
DOUGGIE McMEEKIN;TRUE;Yuvchenko;Cast;Chernobyl S01E01;nm7077073;Douggie McMeekin;A;nm7077073;Douggie McMeekin;A;nm7077073;Douggie McMeekin;A;nm7077073;Douggie McMeekin;A;nm7077073;Douggie McMeekin;A;nm7077073;Douggie McMeekin;A;nm7077073;Douggie McMeekin;A;;
DOUGLAS CROSS;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;nm3988023;Douglas Cross;A;nm3988023;Douglas Cross;A;nm3988023;Douglas Cross;A;nm3988023;Douglas Cross;A;nm3988023;Douglas Cross;A;nm3988023;Douglas Cross;A;nm3988023;Douglas Cross;A;;
DOUGLAS HEMPHILL;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;nm0376153;Doug Hemphill;M;nm0376153;Doug Hemphill;M;;DOUGLAS HEMPHILL;X;;DOUGLAS HEMPHILL;X;;DOUGLAS HEMPHILL;X;;DOUGLAS HEMPHILL;X;;DOUGLAS HEMPHILL;X;;
DOVYDAS STRIOGA;TRUE;Grips;Camera and Electrical Department;Chernobyl S01E01;nm12542036;Dovydas Strioga;A;nm12542036;Dovydas Strioga;A;nm12542036;Dovydas Strioga;A;nm12542036;Dovydas Strioga;A;nm12542036;Dovydas Strioga;A;nm12542036;Dovydas Strioga;A;nm12542036;Dovydas Strioga;A;;
DREW JIRITANO;TRUE;special effects coordinator;Special Effects;Eternal Sunshine of the Spotless Mind;nm0320766;Drew Jiritano;A;nm0320766;Drew Jiritano;A;nm0320766;Drew Jiritano;A;nm0320766;Drew Jiritano;A;nm0320766;Drew Jiritano;A;nm0320766;Drew Jiritano;A;nm0320766;Drew Jiritano;A;;
DREW KUNIN;TRUE;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind;;DREW KUNIN;X;;DREW KUNIN;X;;DREW KUNIN;X;;DREW KUNIN;X;;DREW KUNIN;X;;DREW KUNIN;X;;DREW KUNIN;X;;
DREW MARSH;TRUE;Telecine Colorist;Color Department;Twin Peaks S01E03;;DREW MARSH;X;;DREW MARSH;X;;DREW MARSH;X;;DREW MARSH;X;;DREW MARSH;X;;DREW MARSH;X;;DREW MARSH;X;;
DUANE LAFAYETTE-BARTON;TRUE;Editorial;Editorial Department;Chernobyl S01E01;;DUANE LAFAYETTE-BARTON;X;;DUANE LAFAYETTE-BARTON;X;;DUANE LAFAYETTE-BARTON;X;;DUANE LAFAYETTE-BARTON;X;;DUANE LAFAYETTE-BARTON;X;;DUANE LAFAYETTE-BARTON;X;;DUANE LAFAYETTE-BARTON;X;;
DUBOI;TRUE;Trucages numÃ©riques;Visual Effects;Amelie;;DUBOI;X;;DUBOI;X;;DUBOI;X;;DUBOI;X;;DUBOI;X;;DUBOI;X;;DUBOI;X;;
DUFFY GAVER;TRUE;Marksman in Helicopter;Cast;Se7en;nm0310484;Duffy Gaver;A;nm0310484;Duffy Gaver;A;nm0310484;Duffy Gaver;A;nm0310484;Duffy Gaver;A;nm0310484;Duffy Gaver;A;nm0310484;Duffy Gaver;A;nm0310484;Duffy Gaver;A;;
DUWAYNE R. SHEPARD, SR.;TRUE;Morgan Freeman's Double;Additional Crew;Se7en;;DUWAYNE R. SHEPARD, SR.;X;;DUWAYNE R. SHEPARD, SR.;X;;DUWAYNE R. SHEPARD, SR.;X;;DUWAYNE R. SHEPARD, SR.;X;;DUWAYNE R. SHEPARD, SR.;X;;DUWAYNE R. SHEPARD, SR.;X;;DUWAYNE R. SHEPARD, SR.;X;;
DYLAN SCOTT;TRUE;Standby Props;Property Department;Chernobyl S01E01;;DYLAN SCOTT;X;;DYLAN SCOTT;X;;DYLAN SCOTT;X;;DYLAN SCOTT;X;;DYLAN SCOTT;X;;DYLAN SCOTT;X;;DYLAN SCOTT;X;;
E. BROADWATER;TRUE;"""SUZIE Q"" By";Soundtrack;Apocalypse Now;;E. BROADWATER;X;;E. BROADWATER;X;;E. BROADWATER;X;;E. BROADWATER;X;;E. BROADWATER;X;;E. BROADWATER;X;;E. BROADWATER;X;;
E.J. EVANS;TRUE;stunt players;Stunts;Eternal Sunshine of the Spotless Mind;nm0262722;E.J. Evans;A;nm0262722;E.J. Evans;A;nm0262722;E.J. Evans;A;nm0262722;E.J. Evans;A;nm0262722;E.J. Evans;A;nm0262722;E.J. Evans;A;nm0262722;E.J. Evans;A;;
EARL FORKRUD;TRUE;Propmakers;Property Department;Se7en;nm0286298;Earl Forkrud;A;nm0286298;Earl Forkrud;A;nm0286298;Earl Forkrud;A;nm0286298;Earl Forkrud;A;nm0286298;Earl Forkrud;A;nm0286298;Earl Forkrud;A;nm0286298;Earl Forkrud;A;;
